DATE,DEXUSUK
1992-09-09,1.9750
1992-09-10,1.9760
1992-09-11,1.9235
1992-09-14,1.8915
1992-09-15,1.8715
1992-09-16,1.8110
1992-09-17,1.7815
1992-09-18,1.7370
1992-09-21,1.7125
1992-09-22,1.7082
1992-09-23,1.7085
1992-09-24,1.7090
1992-09-25,1.7140
1992-09-28,1.7295
1992-09-29,1.7690
1992-09-30,1.7790
1992-10-01,1.7340
1992-10-02,1.7060
1992-10-05,1.7010
1992-10-06,1.7125
1992-10-07,1.7175
1992-10-08,1.6895
1992-10-09,1.6975
1992-10-12,1.6975
1992-10-13,1.7140
1992-10-14,1.7098
1992-10-15,1.7000
1992-10-16,1.6555
1992-10-19,1.6300
1992-10-20,1.6235
1992-10-21,1.6135
1992-10-22,1.6195
1992-10-23,1.6130
1992-10-26,1.5865
1992-10-27,1.5775
1992-10-28,1.5780
1992-10-29,1.5700
1992-10-30,1.5625
1992-11-02,1.5330
1992-11-03,1.5479
1992-11-04,1.5535
1992-11-05,1.5380
1992-11-06,1.5365
1992-11-09,1.5200
1992-11-10,1.5130
1992-11-11,1.5130
1992-11-12,1.5230
1992-11-13,1.5490
1992-11-16,1.5180
1992-11-17,1.5190
1992-11-18,1.5205
1992-11-19,1.5320
1992-11-20,1.5210
1992-11-23,1.5175
1992-11-24,1.5190
1992-11-25,1.5250
1992-11-26,1.5250
1992-11-27,1.5095
1992-11-30,1.5135
1992-12-01,1.5350
1992-12-02,1.5480
1992-12-03,1.5650
1992-12-04,1.5570
1992-12-07,1.5860
1992-12-08,1.5975
1992-12-09,1.5695
1992-12-10,1.5570
1992-12-11,1.5578
1992-12-14,1.5650
1992-12-15,1.5665
1992-12-16,1.5772
1992-12-17,1.5740
1992-12-18,1.5660
1992-12-21,1.5640
1992-12-22,1.5385
1992-12-23,1.5260
1992-12-24,1.5230
1992-12-25,1.5230
1992-12-28,1.5115
1992-12-29,1.5125
1992-12-30,1.5120
1992-12-31,1.5130
1993-01-01,1.5130
1993-01-04,1.5010
1993-01-05,1.5450
1993-01-06,1.5413
1993-01-07,1.5360
1993-01-08,1.5400
1993-01-11,1.5535
1993-01-12,1.5400
1993-01-13,1.5400
1993-01-14,1.5390
1993-01-15,1.5300
1993-01-18,1.5300
1993-01-19,1.5480
1993-01-20,1.5416
1993-01-21,1.5175
1993-01-22,1.5320
1993-01-25,1.5585
1993-01-26,1.5385
1993-01-27,1.5145
1993-01-28,1.5165
1993-01-29,1.4855
1993-02-01,1.4540
1993-02-02,1.4460
1993-02-03,1.4345
1993-02-04,1.4452
1993-02-05,1.4475
1993-02-08,1.4395
1993-02-09,1.4310
1993-02-10,1.4255
1993-02-11,1.4180
1993-02-12,1.4175
1993-02-15,1.4175
1993-02-16,1.4475
1993-02-17,1.4439
1993-02-18,1.4460
1993-02-19,1.4525
1993-02-22,1.4544
1993-02-23,1.4585
1993-02-24,1.4375
1993-02-25,1.4300
1993-02-26,1.4215
1993-03-01,1.4363
1993-03-02,1.4475
1993-03-03,1.4490
1993-03-04,1.4535
1993-03-05,1.4470
1993-03-08,1.4455
1993-03-09,1.4345
1993-03-10,1.4320
1993-03-11,1.4349
1993-03-12,1.4330
1993-03-15,1.4340
1993-03-16,1.4445
1993-03-17,1.4510
1993-03-18,1.4755
1993-03-19,1.4892
1993-03-22,1.4876
1993-03-23,1.4832
1993-03-24,1.4820
1993-03-25,1.4743
1993-03-26,1.4905
1993-03-29,1.4904
1993-03-30,1.4950
1993-03-31,1.5090
1993-04-01,1.5260
1993-04-02,1.5130
1993-04-05,1.5200
1993-04-06,1.5127
1993-04-07,1.5138
1993-04-08,1.5253
1993-04-09,1.5282
1993-04-12,1.5478
1993-04-13,1.5585
1993-04-14,1.5520
1993-04-15,1.5430
1993-04-16,1.5255
1993-04-19,1.5379
1993-04-20,1.5424
1993-04-21,1.5363
1993-04-22,1.5480
1993-04-23,1.5755
1993-04-26,1.5900
1993-04-27,1.5775
1993-04-28,1.5710
1993-04-29,1.5705
1993-04-30,1.5695
1993-05-03,1.5610
1993-05-04,1.5703
1993-05-05,1.5660
1993-05-06,1.5700
1993-05-07,1.5715
1993-05-10,1.5350
1993-05-11,1.5420
1993-05-12,1.5340
1993-05-13,1.5255
1993-05-14,1.5385
1993-05-17,1.5322
1993-05-18,1.5314
1993-05-19,1.5408
1993-05-20,1.5563
1993-05-21,1.5415
1993-05-24,1.5350
1993-05-25,1.5420
1993-05-26,1.5460
1993-05-27,1.5545
1993-05-28,1.5605
1993-05-31,1.5605
1993-06-01,1.5510
1993-06-02,1.5410
1993-06-03,1.5393
1993-06-04,1.5170
1993-06-07,1.5225
1993-06-08,1.5175
1993-06-09,1.5150
1993-06-10,1.5190
1993-06-11,1.5245
1993-06-14,1.5270
1993-06-15,1.5220
1993-06-16,1.5035
1993-06-17,1.5145
1993-06-18,1.4960
1993-06-21,1.4880
1993-06-22,1.4772
1993-06-23,1.4717
1993-06-24,1.4675
1993-06-25,1.4778
1993-06-28,1.4930
1993-06-29,1.5030
1993-06-30,1.4930
1993-07-01,1.5065
1993-07-02,1.5075
1993-07-05,1.5075
1993-07-06,1.5097
1993-07-07,1.4935
1993-07-08,1.4948
1993-07-09,1.4779
1993-07-12,1.4780
1993-07-13,1.4929
1993-07-14,1.5012
1993-07-15,1.4883
1993-07-16,1.4795
1993-07-19,1.4985
1993-07-20,1.5010
1993-07-21,1.5155
1993-07-22,1.5085
1993-07-23,1.4964
1993-07-26,1.5015
1993-07-27,1.4890
1993-07-28,1.4945
1993-07-29,1.4861
1993-07-30,1.4850
1993-08-02,1.4897
1993-08-03,1.5045
1993-08-04,1.5005
1993-08-05,1.4910
1993-08-06,1.4985
1993-08-09,1.4927
1993-08-10,1.4802
1993-08-11,1.4737
1993-08-12,1.4630
1993-08-13,1.4595
1993-08-16,1.4840
1993-08-17,1.4885
1993-08-18,1.5112
1993-08-19,1.5050
1993-08-20,1.5120
1993-08-23,1.5013
1993-08-24,1.4962
1993-08-25,1.4818
1993-08-26,1.4990
1993-08-27,1.5005
1993-08-30,1.4905
1993-08-31,1.4868
1993-09-01,1.5075
1993-09-02,1.5012
1993-09-03,1.5262
1993-09-06,1.5262
1993-09-07,1.5425
1993-09-08,1.5395
1993-09-09,1.5500
1993-09-10,1.5495
1993-09-13,1.5420
1993-09-14,1.5463
1993-09-15,1.5512
1993-09-16,1.5330
1993-09-17,1.5345
1993-09-20,1.5317
1993-09-21,1.5030
1993-09-22,1.5198
1993-09-23,1.5055
1993-09-24,1.5013
1993-09-27,1.5123
1993-09-28,1.5152
1993-09-29,1.5120
1993-09-30,1.4960
1993-10-01,1.5048
1993-10-04,1.5140
1993-10-05,1.5165
1993-10-06,1.5257
1993-10-07,1.5220
1993-10-08,1.5352
1993-10-11,1.5352
1993-10-12,1.5320
1993-10-13,1.5223
1993-10-14,1.5127
1993-10-15,1.5120
1993-10-18,1.4980
1993-10-19,1.4924
1993-10-20,1.4893
1993-10-21,1.4863
1993-10-22,1.4725
1993-10-25,1.4863
1993-10-26,1.4770
1993-10-27,1.4783
1993-10-28,1.4800
1993-10-29,1.4882
1993-11-01,1.4807
1993-11-02,1.4825
1993-11-03,1.4805
1993-11-04,1.4788
1993-11-05,1.4865
1993-11-08,1.4808
1993-11-09,1.4682
1993-11-10,1.4753
1993-11-11,1.4753
1993-11-12,1.4818
1993-11-15,1.4907
1993-11-16,1.4830
1993-11-17,1.4765
1993-11-18,1.4775
1993-11-19,1.4712
1993-11-22,1.4745
1993-11-23,1.4870
1993-11-24,1.4880
1993-11-25,1.4880
1993-11-26,1.4795
1993-11-29,1.4880
1993-11-30,1.4852
1993-12-01,1.4805
1993-12-02,1.4823
1993-12-03,1.4900
1993-12-06,1.4985
1993-12-07,1.4915
1993-12-08,1.4950
1993-12-09,1.4945
1993-12-10,1.4945
1993-12-13,1.4903
1993-12-14,1.4882
1993-12-15,1.4831
1993-12-16,1.4885
1993-12-17,1.4910
1993-12-20,1.4855
1993-12-21,1.4887
1993-12-22,1.4945
1993-12-23,1.5043
1993-12-24,1.5030
1993-12-27,1.5035
1993-12-28,1.5072
1993-12-29,1.4910
1993-12-30,1.4763
1993-12-31,1.4775
1994-01-03,1.4760
1994-01-04,1.4840
1994-01-05,1.4870
1994-01-06,1.4855
1994-01-07,1.4900
1994-01-10,1.4923
1994-01-11,1.4905
1994-01-12,1.5018
1994-01-13,1.4957
1994-01-14,1.4913
1994-01-17,1.4913
1994-01-18,1.4965
1994-01-19,1.4910
1994-01-20,1.5000
1994-01-21,1.4948
1994-01-24,1.4905
1994-01-25,1.4930
1994-01-26,1.4940
1994-01-27,1.4930
1994-01-28,1.4995
1994-01-31,1.5005
1994-02-01,1.5030
1994-02-02,1.4953
1994-02-03,1.4930
1994-02-04,1.4790
1994-02-07,1.4825
1994-02-08,1.4718
1994-02-09,1.4615
1994-02-10,1.4622
1994-02-11,1.4648
1994-02-14,1.4708
1994-02-15,1.4750
1994-02-16,1.4755
1994-02-17,1.4770
1994-02-18,1.4791
1994-02-21,1.4791
1994-02-22,1.4784
1994-02-23,1.4755
1994-02-24,1.4847
1994-02-25,1.4875
1994-02-28,1.4875
1994-03-01,1.4854
1994-03-02,1.4944
1994-03-03,1.4964
1994-03-04,1.4895
1994-03-07,1.4920
1994-03-08,1.4877
1994-03-09,1.4915
1994-03-10,1.5008
1994-03-11,1.5010
1994-03-14,1.4943
1994-03-15,1.4925
1994-03-16,1.4927
1994-03-17,1.4947
1994-03-18,1.4925
1994-03-21,1.4838
1994-03-22,1.4865
1994-03-23,1.4937
1994-03-24,1.4948
1994-03-25,1.4975
1994-03-28,1.4965
1994-03-29,1.4850
1994-03-30,1.4823
1994-03-31,1.4880
1994-04-01,1.4735
1994-04-04,1.4680
1994-04-05,1.4621
1994-04-06,1.4686
1994-04-07,1.4684
1994-04-08,1.4763
1994-04-11,1.4715
1994-04-12,1.4745
1994-04-13,1.4770
1994-04-14,1.4765
1994-04-15,1.4729
1994-04-18,1.4725
1994-04-19,1.4775
1994-04-20,1.4858
1994-04-21,1.4948
1994-04-22,1.4880
1994-04-25,1.4915
1994-04-26,1.5037
1994-04-27,1.5055
1994-04-28,1.5075
1994-04-29,1.5118
1994-05-02,1.5187
1994-05-03,1.5130
1994-05-04,1.4995
1994-05-05,1.4980
1994-05-06,1.4935
1994-05-09,1.4975
1994-05-10,1.4905
1994-05-11,1.4911
1994-05-12,1.4995
1994-05-13,1.4985
1994-05-16,1.5025
1994-05-17,1.5065
1994-05-18,1.5085
1994-05-19,1.5080
1994-05-20,1.5098
1994-05-23,1.5055
1994-05-24,1.5058
1994-05-25,1.5095
1994-05-26,1.5108
1994-05-27,1.5095
1994-05-30,1.5095
1994-05-31,1.5120
1994-06-01,1.5172
1994-06-02,1.5082
1994-06-03,1.5055
1994-06-06,1.5083
1994-06-07,1.5080
1994-06-08,1.5063
1994-06-09,1.5067
1994-06-10,1.5084
1994-06-13,1.5202
1994-06-14,1.5192
1994-06-15,1.5194
1994-06-16,1.5200
1994-06-17,1.5307
1994-06-20,1.5385
1994-06-21,1.5405
1994-06-22,1.5315
1994-06-23,1.5415
1994-06-24,1.5519
1994-06-27,1.5495
1994-06-28,1.5512
1994-06-29,1.5462
1994-06-30,1.5483
1994-07-01,1.5390
1994-07-04,1.5390
1994-07-05,1.5415
1994-07-06,1.5505
1994-07-07,1.5421
1994-07-08,1.5445
1994-07-11,1.5645
1994-07-12,1.5725
1994-07-13,1.5675
1994-07-14,1.5615
1994-07-15,1.5574
1994-07-18,1.5622
1994-07-19,1.5513
1994-07-20,1.5493
1994-07-21,1.5395
1994-07-22,1.5310
1994-07-25,1.5320
1994-07-26,1.5244
1994-07-27,1.5306
1994-07-28,1.5317
1994-07-29,1.5415
1994-08-01,1.5368
1994-08-02,1.5378
1994-08-03,1.5395
1994-08-04,1.5387
1994-08-05,1.5425
1994-08-08,1.5422
1994-08-09,1.5385
1994-08-10,1.5393
1994-08-11,1.5395
1994-08-12,1.5450
1994-08-15,1.5422
1994-08-16,1.5427
1994-08-17,1.5400
1994-08-18,1.5450
1994-08-19,1.5490
1994-08-22,1.5510
1994-08-23,1.5535
1994-08-24,1.5535
1994-08-25,1.5535
1994-08-26,1.5355
1994-08-29,1.5340
1994-08-30,1.5350
1994-08-31,1.5362
1994-09-01,1.5445
1994-09-02,1.5475
1994-09-05,1.5475
1994-09-06,1.5487
1994-09-07,1.5462
1994-09-08,1.5436
1994-09-09,1.5503
1994-09-12,1.5696
1994-09-13,1.5623
1994-09-14,1.5673
1994-09-15,1.5630
1994-09-16,1.5840
1994-09-19,1.5660
1994-09-20,1.5745
1994-09-21,1.5780
1994-09-22,1.5760
1994-09-23,1.5813
1994-09-26,1.5745
1994-09-27,1.5775
1994-09-28,1.5760
1994-09-29,1.5800
1994-09-30,1.5770
1994-10-03,1.5785
1994-10-04,1.5783
1994-10-05,1.5860
1994-10-06,1.5875
1994-10-07,1.5865
1994-10-10,1.5865
1994-10-11,1.5780
1994-10-12,1.5810
1994-10-13,1.5815
1994-10-14,1.5910
1994-10-17,1.6100
1994-10-18,1.6135
1994-10-19,1.6180
1994-10-20,1.6215
1994-10-21,1.6255
1994-10-24,1.6275
1994-10-25,1.6365
1994-10-26,1.6320
1994-10-27,1.6368
1994-10-28,1.6230
1994-10-31,1.6350
1994-11-01,1.6320
1994-11-02,1.6345
1994-11-03,1.6125
1994-11-04,1.6105
1994-11-07,1.6160
1994-11-08,1.6210
1994-11-09,1.6050
1994-11-10,1.5992
1994-11-11,1.5992
1994-11-14,1.5880
1994-11-15,1.5840
1994-11-16,1.5715
1994-11-17,1.5770
1994-11-18,1.5680
1994-11-21,1.5660
1994-11-22,1.5695
1994-11-23,1.5725
1994-11-24,1.5725
1994-11-25,1.5630
1994-11-28,1.5630
1994-11-29,1.5643
1994-11-30,1.5670
1994-12-01,1.5652
1994-12-02,1.5602
1994-12-05,1.5590
1994-12-06,1.5610
1994-12-07,1.5641
1994-12-08,1.5632
1994-12-09,1.5602
1994-12-12,1.5637
1994-12-13,1.5605
1994-12-14,1.5612
1994-12-15,1.5630
1994-12-16,1.5630
1994-12-19,1.5622
1994-12-20,1.5600
1994-12-21,1.5595
1994-12-22,1.5462
1994-12-23,1.5445
1994-12-26,1.5445
1994-12-27,1.5450
1994-12-28,1.5435
1994-12-29,1.5602
1994-12-30,1.5665
1995-01-02,1.5665
1995-01-03,1.5624
1995-01-04,1.5605
1995-01-05,1.5635
1995-01-06,1.5518
1995-01-09,1.5573
1995-01-10,1.5585
1995-01-11,1.5592
1995-01-12,1.5715
1995-01-13,1.5670
1995-01-16,1.5670
1995-01-17,1.5680
1995-01-18,1.5707
1995-01-19,1.5750
1995-01-20,1.5877
1995-01-23,1.5955
1995-01-24,1.5960
1995-01-25,1.5932
1995-01-26,1.5908
1995-01-27,1.5885
1995-01-30,1.5935
1995-01-31,1.5815
1995-02-01,1.5805
1995-02-02,1.5830
1995-02-03,1.5643
1995-02-06,1.5600
1995-02-07,1.5570
1995-02-08,1.5523
1995-02-09,1.5565
1995-02-10,1.5627
1995-02-13,1.5635
1995-02-14,1.5575
1995-02-15,1.5605
1995-02-16,1.5775
1995-02-17,1.5765
1995-02-20,1.5765
1995-02-21,1.5815
1995-02-22,1.5860
1995-02-23,1.5930
1995-02-24,1.5885
1995-02-27,1.5835
1995-02-28,1.5840
1995-03-01,1.5843
1995-03-02,1.5910
1995-03-03,1.6210
1995-03-06,1.6330
1995-03-07,1.6440
1995-03-08,1.6190
1995-03-09,1.6152
1995-03-10,1.5802
1995-03-13,1.5968
1995-03-14,1.5855
1995-03-15,1.6030
1995-03-16,1.5860
1995-03-17,1.5820
1995-03-20,1.5805
1995-03-21,1.5855
1995-03-22,1.5860
1995-03-23,1.5923
1995-03-24,1.5880
1995-03-27,1.5955
1995-03-28,1.6100
1995-03-29,1.6080
1995-03-30,1.5985
1995-03-31,1.6190
1995-04-03,1.6160
1995-04-04,1.6015
1995-04-05,1.6065
1995-04-06,1.6058
1995-04-07,1.6015
1995-04-10,1.5940
1995-04-11,1.5945
1995-04-12,1.5900
1995-04-13,1.6068
1995-04-14,1.6020
1995-04-17,1.6195
1995-04-18,1.6140
1995-04-19,1.6160
1995-04-20,1.6127
1995-04-21,1.6100
1995-04-24,1.6055
1995-04-25,1.6135
1995-04-26,1.6105
1995-04-27,1.6162
1995-04-28,1.6091
1995-05-01,1.6180
1995-05-02,1.6125
1995-05-03,1.6172
1995-05-04,1.6185
1995-05-05,1.5990
1995-05-08,1.6080
1995-05-09,1.5885
1995-05-10,1.5815
1995-05-11,1.5576
1995-05-12,1.5710
1995-05-15,1.5652
1995-05-16,1.5690
1995-05-17,1.5685
1995-05-18,1.5625
1995-05-19,1.5735
1995-05-22,1.5750
1995-05-23,1.5660
1995-05-24,1.5755
1995-05-25,1.6037
1995-05-26,1.6040
1995-05-29,1.6040
1995-05-30,1.6010
1995-05-31,1.5865
1995-06-01,1.5945
1995-06-02,1.5860
1995-06-05,1.5955
1995-06-06,1.5900
1995-06-07,1.5942
1995-06-08,1.5920
1995-06-09,1.5945
1995-06-12,1.5950
1995-06-13,1.5955
1995-06-14,1.6085
1995-06-15,1.5955
1995-06-16,1.6070
1995-06-19,1.5995
1995-06-20,1.6030
1995-06-21,1.6049
1995-06-22,1.5998
1995-06-23,1.6045
1995-06-26,1.5855
1995-06-27,1.5845
1995-06-28,1.5740
1995-06-29,1.5915
1995-06-30,1.5905
1995-07-03,1.5972
1995-07-04,1.5972
1995-07-05,1.5950
1995-07-06,1.5985
1995-07-07,1.5945
1995-07-10,1.5905
1995-07-11,1.5880
1995-07-12,1.5915
1995-07-13,1.6005
1995-07-14,1.5945
1995-07-17,1.5945
1995-07-18,1.5962
1995-07-19,1.5955
1995-07-20,1.5970
1995-07-21,1.5940
1995-07-24,1.5976
1995-07-25,1.5879
1995-07-26,1.5956
1995-07-27,1.5964
1995-07-28,1.6003
1995-07-31,1.5980
1995-08-01,1.5992
1995-08-02,1.5995
1995-08-03,1.6068
1995-08-04,1.6073
1995-08-07,1.6018
1995-08-08,1.6010
1995-08-09,1.6002
1995-08-10,1.5888
1995-08-11,1.5776
1995-08-14,1.5740
1995-08-15,1.5553
1995-08-16,1.5515
1995-08-17,1.5345
1995-08-18,1.5430
1995-08-21,1.5405
1995-08-22,1.5355
1995-08-23,1.5415
1995-08-24,1.5432
1995-08-25,1.5418
1995-08-28,1.5525
1995-08-29,1.5453
1995-08-30,1.5440
1995-08-31,1.5515
1995-09-01,1.5533
1995-09-04,1.5533
1995-09-05,1.5565
1995-09-06,1.5501
1995-09-07,1.5500
1995-09-08,1.5482
1995-09-11,1.5483
1995-09-12,1.5545
1995-09-13,1.5480
1995-09-14,1.5505
1995-09-15,1.5520
1995-09-18,1.5460
1995-09-19,1.5460
1995-09-20,1.5525
1995-09-21,1.5695
1995-09-22,1.5795
1995-09-25,1.5715
1995-09-26,1.5708
1995-09-27,1.5722
1995-09-28,1.5805
1995-09-29,1.5795
1995-10-02,1.5909
1995-10-03,1.5808
1995-10-04,1.5837
1995-10-05,1.5840
1995-10-06,1.5812
1995-10-09,1.5812
1995-10-10,1.5778
1995-10-11,1.5730
1995-10-12,1.5735
1995-10-13,1.5725
1995-10-16,1.5750
1995-10-17,1.5740
1995-10-18,1.5695
1995-10-19,1.5725
1995-10-20,1.5759
1995-10-23,1.5800
1995-10-24,1.5810
1995-10-25,1.5795
1995-10-26,1.5740
1995-10-27,1.5795
1995-10-30,1.5775
1995-10-31,1.5807
1995-11-01,1.5778
1995-11-02,1.5813
1995-11-03,1.5805
1995-11-06,1.5793
1995-11-07,1.5778
1995-11-08,1.5805
1995-11-09,1.5794
1995-11-10,1.5753
1995-11-13,1.5555
1995-11-14,1.5605
1995-11-15,1.5580
1995-11-16,1.5558
1995-11-17,1.5505
1995-11-20,1.5495
1995-11-21,1.5583
1995-11-22,1.5650
1995-11-23,1.5650
1995-11-24,1.5600
1995-11-27,1.5505
1995-11-28,1.5480
1995-11-29,1.5383
1995-11-30,1.5302
1995-12-01,1.5360
1995-12-04,1.5360
1995-12-05,1.5410
1995-12-06,1.5422
1995-12-07,1.5353
1995-12-08,1.5329
1995-12-11,1.5348
1995-12-12,1.5313
1995-12-13,1.5325
1995-12-14,1.5410
1995-12-15,1.5395
1995-12-18,1.5390
1995-12-19,1.5420
1995-12-20,1.5373
1995-12-21,1.5388
1995-12-22,1.5425
1995-12-25,1.5425
1995-12-26,1.5555
1995-12-27,1.5600
1995-12-28,1.5390
1995-12-29,1.5535
1996-01-01,1.5535
1996-01-02,1.5565
1996-01-03,1.5517
1996-01-04,1.5463
1996-01-05,1.5520
1996-01-08,1.5495
1996-01-09,1.5475
1996-01-10,1.5456
1996-01-11,1.5445
1996-01-12,1.5487
1996-01-15,1.5487
1996-01-16,1.5380
1996-01-17,1.5255
1996-01-18,1.5228
1996-01-19,1.5093
1996-01-22,1.5135
1996-01-23,1.5135
1996-01-24,1.5092
1996-01-25,1.5075
1996-01-26,1.5030
1996-01-29,1.5063
1996-01-30,1.5037
1996-01-31,1.5096
1996-02-01,1.5132
1996-02-02,1.5190
1996-02-05,1.5352
1996-02-06,1.5402
1996-02-07,1.5365
1996-02-08,1.5374
1996-02-09,1.5318
1996-02-12,1.5308
1996-02-13,1.5340
1996-02-14,1.5371
1996-02-15,1.5385
1996-02-16,1.5487
1996-02-19,1.5487
1996-02-20,1.5445
1996-02-21,1.5425
1996-02-22,1.5435
1996-02-23,1.5410
1996-02-26,1.5400
1996-02-27,1.5398
1996-02-28,1.5335
1996-02-29,1.5320
1996-03-01,1.5273
1996-03-04,1.5284
1996-03-05,1.5290
1996-03-06,1.5290
1996-03-07,1.5300
1996-03-08,1.5240
1996-03-11,1.5238
1996-03-12,1.5213
1996-03-13,1.5225
1996-03-14,1.5231
1996-03-15,1.5250
1996-03-18,1.5300
1996-03-19,1.5327
1996-03-20,1.5376
1996-03-21,1.5360
1996-03-22,1.5334
1996-03-25,1.5230
1996-03-26,1.5240
1996-03-27,1.5181
1996-03-28,1.5239
1996-03-29,1.5262
1996-04-01,1.5244
1996-04-02,1.5248
1996-04-03,1.5260
1996-04-04,1.5295
1996-04-05,1.5287
1996-04-08,1.5310
1996-04-09,1.5243
1996-04-10,1.5115
1996-04-11,1.5125
1996-04-12,1.5123
1996-04-15,1.5085
1996-04-16,1.5071
1996-04-17,1.5070
1996-04-18,1.5100
1996-04-19,1.5168
1996-04-22,1.5112
1996-04-23,1.5161
1996-04-24,1.5138
1996-04-25,1.5127
1996-04-26,1.5103
1996-04-29,1.5094
1996-04-30,1.5050
1996-05-01,1.4948
1996-05-02,1.5030
1996-05-03,1.5042
1996-05-06,1.5072
1996-05-07,1.5125
1996-05-08,1.5215
1996-05-09,1.5220
1996-05-10,1.5223
1996-05-13,1.5145
1996-05-14,1.5149
1996-05-15,1.5130
1996-05-16,1.5133
1996-05-17,1.5150
1996-05-20,1.5130
1996-05-21,1.5115
1996-05-22,1.5103
1996-05-23,1.5134
1996-05-24,1.5110
1996-05-27,1.5110
1996-05-28,1.5127
1996-05-29,1.5211
1996-05-30,1.5345
1996-05-31,1.5495
1996-06-03,1.5515
1996-06-04,1.5485
1996-06-05,1.5474
1996-06-06,1.5405
1996-06-07,1.5410
1996-06-10,1.5322
1996-06-11,1.5355
1996-06-12,1.5345
1996-06-13,1.5320
1996-06-14,1.5358
1996-06-17,1.5450
1996-06-18,1.5435
1996-06-19,1.5433
1996-06-20,1.5418
1996-06-21,1.5383
1996-06-24,1.5400
1996-06-25,1.5405
1996-06-26,1.5414
1996-06-27,1.5462
1996-06-28,1.5529
1996-07-01,1.5545
1996-07-02,1.5583
1996-07-03,1.5587
1996-07-04,1.5587
1996-07-05,1.5522
1996-07-08,1.5530
1996-07-09,1.5495
1996-07-10,1.5504
1996-07-11,1.5555
1996-07-12,1.5525
1996-07-15,1.5500
1996-07-16,1.5585
1996-07-17,1.5432
1996-07-18,1.5479
1996-07-19,1.5466
1996-07-22,1.5512
1996-07-23,1.5515
1996-07-24,1.5525
1996-07-25,1.5572
1996-07-26,1.5545
1996-07-29,1.5570
1996-07-30,1.5558
1996-07-31,1.5556
1996-08-01,1.5572
1996-08-02,1.5418
1996-08-05,1.5442
1996-08-06,1.5375
1996-08-07,1.5418
1996-08-08,1.5497
1996-08-09,1.5490
1996-08-12,1.5505
1996-08-13,1.5499
1996-08-14,1.5483
1996-08-15,1.5504
1996-08-16,1.5468
1996-08-19,1.5444
1996-08-20,1.5473
1996-08-21,1.5497
1996-08-22,1.5508
1996-08-23,1.5530
1996-08-26,1.5553
1996-08-27,1.5530
1996-08-28,1.5593
1996-08-29,1.5563
1996-08-30,1.5612